Point_ID,u_pixel,v_pixel,True_X_m,True_Z_m,Pred_X_m,Pred_Z_m,Error_X_m,Error_Z_m,Total_Error_m
1,1298.58,1194.5,4.83,6.9,2.211,7.906,2.619,1.006,2.806
2,1944.55,1074.48,8.331,8.025,8.331,8.025,0.0,0.0,0.0
3,2405.73,942.66,12.438,9.96,14.715,8.866,2.277,1.094,2.526
4,904.22,1639.1,2.6,5.0,-0.905,4.834,3.505,0.166,3.509
