Point_ID,u_pixel,v_pixel,True_X_m,True_Z_m,Pred_X_m,Pred_Z_m,Error_X_m,Error_Z_m,Total_Error_m
1,248.21,1574.53,8.331,8.025,3.26,7.787,5.071,0.238,5.077
2,536.45,1199.76,12.438,9.96,6.795,9.123,5.642,0.837,5.704
3,763.65,928.84,16.942,12.329,12.045,10.857,4.897,1.472,5.114
4,923.89,728.27,21.68,14.927,20.151,13.687,1.53,1.24,1.969
5,1045.92,598.08,26.557,17.652,31.375,17.107,4.818,0.545,4.849
