Point_ID,u_pixel,v_pixel,True_X_m,True_Z_m,Pred_X_m,Pred_Z_m,Error_X_m,Error_Z_m,Total_Error_m
1,1770.23,648.6,0.0,13.0,-0.734,13.622,0.734,0.622,0.962
2,1780.22,1193.01,0.0,7.0,0.639,6.314,0.639,0.686,0.938
3,1755.35,1527.04,0.0,5.0,0.914,3.983,0.914,1.017,1.368
4,1780.37,856.56,0.0,10.0,-0.0,10.0,0.0,0.0,0.0
